행정구역별(도/특별시/광역시),행정구역별(시/구),총사고발생건수,총자동차수,사망자수,부상자수,주민등록인구수(등록외국인포함),총사고유형별,차대사람,차대차,차량단독,차량기타,총사고자동차종류별,승용차,승합차,화물,특수,이륜차,자동차기타
대전광역시,중구,1225,102496,11,1781,237000,1225,246,933,46,,1225,852,82,125,4,74,88
대전광역시,서구,2333,213714,19,3452,481107,2333,461,1807,65,,2333,1717,101,179,11,175,150
대전광역시,유성구,1803,182925,8,2722,356738,1803,213,1543,47,,1803,1357,66,167,8,112,93
대전광역시,대덕구,752,92854,12,1048,178506,752,145,591,16,,752,495,52,143,11,31,20
울산광역시,중구,603,103005,8,847,219428,603,124,451,28,0,603,424,19,64,0,62,34
울산광역시,남구,1272,161426,11,1744,324527,1272,277,948,47,0,1272,917,52,129,6,106,62
울산광역시,동구,554,62846,3,721,159939,554,110,413,31,0,554,313,26,31,3,149,32
울산광역시,북구,667,118342,14,1039,221325,667,80,562,24,1,667,437,25,100,0,73,32
울산광역시,울주군,738,130081,15,1093,228682,738,118,578,42,0,738,446,29,133,12,56,62
세종특별자치시,세종시,813,173580,7,1076,360906,813,114,671,28,0,813,540,32,99,5,68,69
경기도,수원시,4480,529578,29,6459,1221913,4480,831,3508,141,0,4480,3021,307,408,21,430,293
경기도,성남시,3640,345902,31,5204,955248,3640,650,2837,153,0,3640,2366,347,338,17,294,278
경기도,의정부시,1695,167461,13,2479,466455,1695,349,1297,49,0,1695,1098,110,178,8,173,128
경기도,안양시,1337,209297,9,1958,556570,1337,246,1040,51,0,1337,847,94,129,5,102,160
경기도,부천시,3364,307262,23,4716,842788,3364,673,2590,101,0,3364,2081,257,377,10,324,315
경기도,광명시,964,104537,4,1377,303068,964,178,740,46,0,964,610,73,115,0,90,76
경기도,평택시,3190,291735,41,4819,560475,3190,458,2615,117,0,3190,2105,172,409,32,274,198
경기도,동두천시,329,39263,4,456,97687,329,58,260,11,0,329,224,16,44,2,17,26
경기도,안산시,3931,309505,35,5753,706185,3931,512,3308,111,0,3931,2570,222,491,27,293,328
경기도,고양시,3586,432592,37,5112,1090738,3586,544,2893,149,0,3586,2305,259,394,10,347,271
경기도,과천시,187,24409,6,290,63397,187,18,162,7,0,187,132,9,21,0,10,15
경기도,구리시,758,73503,6,1097,198856,758,154,582,22,0,758,455,46,113,7,59,78
경기도,남양주시,2255,303129,32,3419,720462,2255,375,1756,124,0,2255,1381,137,350,14,170,203
경기도,오산시,1090,109374,6,1559,238956,1090,185,868,37,0,1090,701,69,121,3,106,90
경기도,시흥시,2293,250866,26,3497,533305,2293,267,1972,54,0,2293,1451,126,378,25,154,159
경기도,군포시,709,103583,9,1043,280039,709,133,543,33,0,709,423,47,93,3,99,44
경기도,의왕시,414,67604,5,615,164857,414,65,320,29,0,414,270,43,46,7,21,27
경기도,하남시,1192,124309,13,1788,295620,1192,144,1002,46,0,1192,647,85,195,6,122,137
경기도,용인시,3262,478727,35,5066,1090907,3262,416,2760,86,0,3262,2188,177,428,24,236,209
경기도,파주시,1475,222522,34,1997,476272,1475,238,1164,73,0,1475,951,87,211,11,79,136
경기도,이천시,1106,118637,25,1708,225418,1106,139,919,48,0,1106,739,50,176,11,80,50
경기도,안성시,1075,108455,13,1779,198234,1075,102,921,52,0,1075,682,44,204,11,65,69
경기도,김포시,1687,228800,29,2632,492766,1687,222,1398,67,0,1687,1018,125,255,11,170,108
경기도,화성시,2959,455136,45,4375,892884,2959,356,2483,120,0,2959,1874,188,446,26,218,207
경기도,광주시,1930,198991,27,2924,393954,1930,253,1606,71,0,1930,1249,86,366,9,126,94
경기도,양주시,1027,110181,14,1520,237370,1027,126,844,57,0,1027,643,72,183,6,44,79
경기도,포천시,829,95439,26,1347,159389,829,90,696,43,0,829,516,46,169,6,49,43
경기도,여주시,507,70352,16,859,115358,507,63,410,34,0,507,305,21,101,7,30,43
경기도,연천군,203,29303,5,316,44433,203,29,158,16,0,203,121,14,40,0,14,14
경기도,가평군,364,31540,5,595,63380,364,54,280,30,0,364,251,9,51,0,19,34
경기도,양평군,553,62134,9,920,120174,553,88,435,30,0,553,367,13,89,2,25,57
강원특별자치도,춘천시,1364,139153,20,2343,286489,1364,218,1104,42,0,1364,950,64,164,1,104,81
강원특별자치도,원주시,1805,179251,33,2923,357710,1805,265,1504,36,0,1805,1395,75,201,6,83,45
강원특별자치도,강릉시,838,112396,12,1310,215603,838,162,653,23,0,838,633,27,106,4,39,29
강원특별자치도,동해시,293,46848,6,484,91492,293,70,214,9,0,293,218,8,40,1,13,13
강원특별자치도,태백시,170,21015,2,267,42945,170,30,131,9,0,170,127,6,25,2,5,5
강원특별자치도,속초시,446,39711,1,699,83674,446,78,362,6,0,446,339,14,74,0,16,3
강원특별자치도,삼척시,357,33312,16,638,65939,357,47,269,41,0,357,224,17,58,3,20,35
강원특별자치도,홍천군,335,40260,13,504,70052,335,48,262,25,0,335,206,15,71,2,27,14
강원특별자치도,횡성군,205,27441,8,327,47097,205,24,162,19,0,205,123,7,48,2,19,6
강원특별자치도,영월군,154,21789,4,252,38902,154,26,106,22,0,154,93,7,31,0,16,7
강원특별자치도,평창군,139,26320,5,307,42132,139,18,112,9,0,139,71,8,36,2,11,11
강원특별자치도,정선군,100,21476,6,169,37135,100,18,76,6,0,100,70,4,14,1,4,7
강원특별자치도,철원군,150,24652,12,218,45325,150,24,115,11,0,150,89,10,32,0,12,7
강원특별자치도,화천군,122,13389,10,185,25081,122,15,88,19,0,122,65,5,36,1,8,7
강원특별자치도,양구군,77,12267,2,156,22526,77,6,58,13,0,77,40,5,17,0,13,2
강원특별자치도,인제군,73,18913,8,140,31959,73,7,62,4,0,73,50,2,13,1,4,3
강원특별자치도,고성군,129,14671,1,220,27869,129,21,103,5,0,129,80,5,32,1,4,7
강원특별자치도,양양군,158,16235,3,254,28242,158,27,122,9,0,158,110,3,29,0,10,6
충청북도,청주시,4456,434677,61,6887,857527,4456,598,3712,146,0,4456,3056,203,528,26,360,283
충청북도,충주시,1099,115591,21,1830,214961,1099,119,937,43,0,1099,755,38,166,11,40,89
충청북도,제천시,801,70711,16,1304,134520,801,88,668,45,0,801,532,25,140,7,68,29
충청북도,보은군,132,19191,9,210,32912,132,25,88,19,0,132,54,3,36,3,24,12
충청북도,옥천군,160,28166,5,223,51205,160,18,127,15,0,160,65,9,53,3,13,17
충청북도,영동군,158,25574,10,217,48247,158,30,111,17,0,158,89,3,38,2,12,14
충청북도,증평군,167,19949,2,242,37629,167,25,136,6,0,167,96,6,31,1,14,19
충청북도,진천군,481,50794,12,800,89364,481,50,399,32,0,481,316,19,91,3,14,38
충청북도,괴산군,193,24019,10,340,40350,193,27,149,17,0,193,96,12,57,2,15,11
충청북도,음성군,606,60313,20,952,101844,606,61,486,59,0,606,383,28,107,4,50,34
충청북도,단양군,145,16635,5,233,29338,145,18,101,26,0,145,80,4,29,6,15,11
충청남도,천안시,3086,336725,51,4595,676996,3086,444,2563,79,0,3086,2130,132,346,22,279,177
충청남도,공주시,514,56648,26,796,106536,514,71,377,66,0,514,293,29,96,3,65,28
충청남도,보령시,468,53905,12,682,103088,468,107,332,29,0,468,293,19,78,3,46,29
충청남도,아산시,1190,173160,19,1698,333101,1190,198,964,28,0,1190,833,48,173,7,77,52
충청남도,서산시,737,98036,26,1067,179669,737,127,578,32,0,737,491,21,131,5,53,36
충청남도,논산시,375,63534,24,594,120540,375,73,276,26,0,375,215,12,75,3,49,21
충청남도,계룡시,54,22646,2,87,43031,54,12,35,7,0,54,38,5,6,,3,2
충청남도,당진시,751,98704,29,1188,171699,751,104,617,30,0,751,529,22,138,10,24,28
충청남도,금산군,121,30891,7,198,53561,121,27,81,13,0,121,59,10,32,,14,6
